text,label
"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",Technical Issues
"@AppleSupport iOS 11.02 and Watchos4.0: No icon for Twitter notifications. Restart of iphone/watch, notif. off/on does not help. What to do? https://t.co/Jd98V9OvIu",Technical Issues
"Dear god not again,@AppleSupport https://t.co/5Zf0Mnd6SI",General
"@ATVIAssist Hi there! If I buy Call of Duty WWII on steam today, do I have instant access to the open beta multiplayer?",Technical Issues
Hi @Safaricom_Care why can't I pay my my Dstv texts says the Org is unavailable,Billing
trying to buy my kid nibling a keyboard for an upcoming birthday - why is the pink one more expensive than the blue one??? @116062 https://t.co/DuRHF6ntXV,Billing
@GWRHelp  https://t.co/EzzirrQuyS,General
"@131749 recibi llamadas de celulares 3113552287 y 3114248440 de supuestos representantes suyos, avisando q me gané unos cupones hoteleros, solo tenía q revalidar la info de mi tarjeta. Ojo! Súper estafa!",General
"@GloCare hi for 2days now I have not being able to make calls,text or even check my balance. As soon as I try making a call d line cuts..",Technical Issues
@AmazonHelp Are you guys having problems with the launch of Amazon Music in Canada?  Keeps saying my session has expired.  Already cleared cookies and temp files. Please Help! https://t.co/1r8mdH5ABB,Technical Issues
WTH HULU!?!?! You LIEEEE https://t.co/4U4nlbGPXX,General
annoyed AF @115873 double charged me for a ride i took almost a month ago! thanks for talking my phone bill money 🙃 @Uber_Support SECOND time ive been double charged,Billing
"@sainsburys Just found a dead fly (ironically, not in soup) but in a Sainsbury's Caesar Salad. Not specified in the contents of the dressing.... but presumably drawn in by the Nectar Points? https://t.co/BD4ZplQDTG",General
@British_Airways any ideas what a/c  are operating the BA845 &amp; BA209? :),Technical Issues
@115888 being able to chat with your friends about what they are listening to would be tight as fuck,Technical Issues
@Uber_Support why is my passenger account disabled?,Account Issues
@British_Airways yo I was wondering can I bring cereals with me on the plane please I’m not even kidding 😂,General
@SW_Help @119696 @749365 I realise that. I've lived here for many years. I've tolerated the enormous daily hassle of the redevelopment. But no thought has been given to handling rugby crowds. It's unacceptable and unsafe.,Technical Issues
"@XboxSupport Achievement has unlocked on Forza while I was playin offline due to internet issue,Now back live &amp; achievement is still locked",Technical Issues
"@AppleSupport Hi, I topped up my iTunes credit today via pre paid voucher. It went through but the credit balance on my iTunes is still showing my old balance but the credit balance on my App Store is showing my new credit balance. Why are the credit info different? Please advise",Billing
@TMobileHelp No thank you T-Mobile... I have already been through this... enough is enough...,General
@SouthwestAir Just curious as to why nearly every SW flight I take between FLL and BWI is delayed...,Technical Issues
"@British_Airways I went to the wrong airport, what is your best customer service contact number for OpenSkies that’s open before 9am?",Refund/Cancellation
@225552 @196577 @115940 I want it to work but I'm not paying to restart a video every 5 min.,Billing
@sainsburys so your substitutes for gluten free food is food that contains gluten ? worst home delivery service of any shop,Delivery
@XboxSupport I got given a £50 redeemable code for my birthday and I accidentally ripped of some of the code what shall I do?,Billing
@DellCares just got a call that my XPS 9550 with swollen battery that's been in the depot for a week will be another 2 weeks minimum to repair.  I have two PCs with the same issue.  Doubtful I will buy again given these issues and lack of quality support.,Technical Issues
"Chipotle is love, Chipotle is life. @ChipotleTweets #AppreciationTweet 🌮🌯",General
@496809 @134202 That @115714 network life though!,General
@584388 @comcastcares Bro that's what I'm saying I'm siiick,General
"We need to have a serious talk, @116068 @GoDaddyHelp. Love you guys, BUT...

I've spent A LOT of money w/YOU since 2001, and I do NOT want new #domains to default at a 5yr reg period. That's ridiculous.

Where can I change the default to 1yr? Thx!

@3814 @3815 @3816",General
@Tesco Is that a yes or no to direct question please?,General
"21 days asking infos without saying which infos!! Support escaleted issue w/out a reply in 1week. #Paypal is risky 4 merchants
@AskPayPal https://t.co/bq6qLGAfG6",Technical Issues
@150659 @115817 AVISO! WARNING! Do NOT pay for priority shipping. @115817 will take your money&amp;not tell you they have no idea when ur package will be delivered,Delivery
@115955 jk don't get spectrum they'll make you fail blackboard assignments and spend an hour buffering a video,Technical Issues
"Still haven't heard back from @115821 about stealing my image. Oh, and they PHOTOSHOPPED their product into the image. 👍🏻 https://t.co/9rhswB62qT",Technical Issues
@comcastcares It has been resolved now. Thanks for the reply. Don’t know what was happening.,General
@AppleSupport a new Arabic font is very bad .. could you change it to the old font please,Technical Issues
@MicrosoftHelps how do I buy https://t.co/xxyyBSGIAH in the uk?,Billing
Hey @Ask_WellsFargo you tell me my account is on hold due to fraud activity yet the prevention and risk line has been busy all day.,Account Issues
@AppleSupport why is my phone percentage going DOWN when it’s in an Apple certified charger? And it didn’t charge at all over night. About to go get a Samsung today.,Technical Issues
@SW_Help great conductor working 2c25 very informative and well with regards with handling a delay and informing everybody travelling.,General
@AppleSupport I’ve tried but no ones replying! Thank you,General
"@AzureSupport Thanks, follow up question; if I need to switch from let's say D series to B is it possible in RI?",Refund/Cancellation
@690906 @AmazonHelp I will take up your case to the consumer forum. You can also contact us at :+91-8521228202.,General
"@SpotifyCares If my partner is using spotify on my iPad but I want to listen on the desktop app at work, it cuts him off and visa versa.",Technical Issues
@116333 have bought IPhone X. Wonderful phone but experience shattered  by lousy service from Apple agent Nysa. Help !,Technical Issues
@116072 Lied about lifetime price @116136...what you got to offer?,Billing
@AskPlayStation I want to download a game again but I’d have to be charged again,Billing
Hello Chicago!!! 🛬 Only bummer is @AmericanAir took my brand new hair spray! 😰maybe @83593  can send me a new one 🙏🏼 #badhairthistrip https://t.co/sES0tUpT2v,Refund/Cancellation
"@NikeSupport Si, ya funciona correctamente gracias",General
"Thank you for this honour, @722565, and congratulations to @sainsburys on winning the grand prize! https://t.co/tZeidSkQ6g",General
@AlaskaAir fly with you all a lot. Always love the service and it really stands out when I have to fly another airline that sucks!,General
@AppleSupport First time I attempted to re-add an event I believe it ignored the day I added it to and set it to the next day. The second attempt resulted in nothing being added.,Technical Issues
"@comcastcares Thanks- I just unplugged and plugged modem back in, again. I was able to open app after reconnected to schedule a call tomorrow. TY4 ur help",Technical Issues
"@AmazonHelp I have and they told me to call the bank--I don't even know what bank this was with, I've had the seller account for 10 years and haven't used",Account Issues
@O2 Many thanks to @O2 it’s not Vegas but still a nice little surprise https://t.co/Gdzg9jIu3R,General
Hey @tesco any reason why your Finest* Chicken Kiev’s which were £5 for 2 are now only served in single packs and cost £3.70 each? Seems like a bit of a price increase &amp; a rip off!,Billing
@TfL why is my #applepay not working at the gates? It tells me to call the help line?! #confused #tfl,Technical Issues
@SpotifyCares everytime i try to listen to two artists in particular (knife party/deadmau5) it tells me the songs are not available,Technical Issues
@116827 account charged for atm withdrawal but no money received... frustrating,Billing
@377498 @377496 @115858 negative sir. from my past experience updating to a new iOS is usually the reason the phone goes to shit.,Technical Issues
@AmericanAir I need your help. Stuck on flight1364 waiting on the tarmac in ORD cause of a maintenance issue on a plane at our gate. I need to make my connection to flight 1487.,Technical Issues
@AirAsiaSupport case number 00186136,General
Anybody else’s #xboxOne powering by itself randomly? @115786 @XboxSupport,Technical Issues
"@comcastcares Is there something going on in Keizer, OR? Outage? Slowdown? Net service is slow on multiple devices &amp; having streaming issues",Technical Issues
@AmazonHelp amzl us,General
.@115725 You have the poorest service I have ever seen. 4 DAYS to get dial tone fixed. Wonder what those that don't have cell do?,Technical Issues
