text,true_label,llm_label
@166371 I used @MOO. I've used them in the past and they've always turned out great. I just had to rush the design on these ones!,General,General
Le envi√© un dm a la cuenta de @AmericanAir y estoy impresionada por la velocidad y calidad de la respuesta. Ojal√° todos los CM fueran as√≠.,General,General
"@ArgosHelpers hello, I bought an xbox last month and one of the buttons doesn't work on the control? It what do I do? Everything else works",Technical Issues,Technical Issues
"@115879 @AskLyft Is there any way to get your app to stop asking this every time I request a ride? If there isn‚Äôt, I‚Äôm going to stop using your service. I don‚Äôt want to use notifications. https://t.co/7zxe7g7rzT",Technical Issues,Technical Issues
@AmericanAir Really? Tell me why I qualified when I left EWR? &amp; why a colleague on the exact same Status as me qualified leaving COS on the same flight,Technical Issues,General
"@AmazonHelp Es lo que hago, hice mi pregunta porque en el sitio dec√≠a que estar√≠a disponible desde el d√≠a de ayer. De cualquier manera gracias.",General,General
Why y‚Äôall still got my shit tweakin? @115858,General,Technical Issues
@AskPapaJohns Email me not putting out on tweeter,General,General
"@sainsburys No it wasn't, it was a technical glitch, was able to book this morning but thanks for not looking into it.",Technical Issues,Technical Issues
"@AmericanAir I hope so because if mine is cancelled, I miss being best man at my brothers wedding. I would hate for my previous appreciation for AA to push me elsewhere...",Refund/Cancellation,General
"@117086 Oi, boa noite. Ontem eu comprei um livro e sem querer comprei de novo, mas n√£o foi contabilizado, hoje paguei mais caro.",General,Billing
